user_input,outputs
음악 & 사운드,"[['음악 & 사운드와 관련된 키워드 5개를 알려드리겠습니다.\n\n키워드 : 음질'], ['이어폰'], ['스피커'], ['볼륨'], ['이어버드']]"
음악 & 사운드,"[['음악 & 사운드와 관련된 키워드 5개를 알려드릴게요.\n\n키워드 : 음질'], ['이어폰'], ['스피커'], ['볼륨'], ['이어버드']]"
음악 & 사운드,"[['음악 & 사운드와 관련된 키워드 5개는 다음과 같아:  \n음질'], ['이어폰'], ['스피커'], ['볼륨'], ['블루투스']]"
운동 & 건강,"[['배터리'], ['걸음수'], ['심박수'], ['운동모드'], ['워치']]"
운동 & 건강,"[['배터리'], ['걸음수'], ['심박수'], ['운동모드'], ['워치']]"
운동 & 건강,"[['배터리'], ['걸음수'], ['심박수'], ['운동모드'], ['워치']]"
영상 제작,"[['해당 영역에서 중요한 키워드 5개는 다음과 같아: 화질'], ['배터리'], ['용량'], ['메모리'], ['카메라']]"
영상 제작,[['해당 내용을 바탕으로 영상 제작과 관련된 키워드 5개를 추려보겠습니다.\n\n1. 해상도\n2. 메모리\n3. 카메라\n4. 화면\n5. 소프트웨어']]
영상 제작,[['해당 내용을 바탕으로 키워드를 추출해보겠습니다.\n\n1. 화질\n2. 배터리\n3. 용량\n4. 메모리\n5. 카메라']]
여행 & 탐방,"[['배터리'], ['카메라'], ['용량'], ['화면'], ['무게']]"
여행 & 탐방,"[['배터리'], ['카메라'], ['용량'], ['화면'], ['무게']]"
여행 & 탐방,"[['배터리'], ['카메라'], ['용량'], ['화면'], ['무게']]"
쇼핑 & 패션,"[['용량'], ['배터리'], ['화면'], ['카메라'], ['사이즈']]"
쇼핑 & 패션,"[['용량'], ['배터리'], ['화면'], ['카메라'], ['사이즈']]"
쇼핑 & 패션,"[['용량'], ['배터리'], ['화면'], ['카메라'], ['사이즈']]"
사진 촬영,"[['배터리'], ['화질'], ['용량'], ['초점'], ['렌즈']]"
사진 촬영,"[['배터리'], ['화질'], ['용량'], ['초점'], ['렌즈']]"
사진 촬영,"[['배터리'], ['화질'], ['용량'], ['초점'], ['렌즈']]"
모바일 게임,"[['화면'], ['성능'], ['배터리'], ['용량'], ['그래픽']]"
모바일 게임,"[['화질'], ['용량'], ['배터리'], ['성능'], ['화면']]"
모바일 게임,"[['화질'], ['용량'], ['배터리'], ['성능'], ['그래픽']]"
디지털 아트,"[['화면'], ['선명'], ['색감'], ['그래픽'], ['펜슬']]"
디지털 아트,"[['해당 취미 영역에서 중요한 키워드 5개는 다음과 같아: 해상'], ['화질'], ['화면'], ['용량'], ['손상.']]"
디지털 아트,"[['해당 취미 영역에서 중요한 키워드 5개를 알려드릴게요. \n\n키워드 : 해상도'], ['펜슬'], ['그래픽'], ['컬러'], ['편집']]"
독서 & 필기,"[['화면 크기'], ['화면 해상도'], ['배터리 수명'], ['저장 용량'], ['무게']]"
독서 & 필기,"[['화면크기'], ['펜슬'], ['화질'], ['용량'], ['무게']]"
독서 & 필기,"[['화면 크기'], ['화질'], ['용량'], ['무게'], ['배터리']]"
SNS & 커뮤니티,"[['카메라'], ['배터리'], ['용량'], ['화면'], ['속도']]"
SNS & 커뮤니티,"[['카메라'], ['배터리'], ['용량'], ['화면'], ['속도']]"
SNS & 커뮤니티,"[['카메라'], ['배터리'], ['용량'], ['화면'], ['속도']]"
